title,link,author,props,time_of_day,intensity,level,focus_area,type,goal
Yoga For Flexibility & Strength ♥ Quiet The Mind And The Soul Will Whisper,W5rMIoqCZug,Boho_Beautiful_Yoga,none,afternoon,medium,advanced,full_body,vinyasa,strength
"Wake Up Yoga For All | Yoga For Harmony, Strength & Inner Power",6BQH1-tG61A,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,vinyasa,strength
Beginner Yoga For Hips & Hamstrings | Best Relief For Stiff & Sore Muscles,FQxNE5GWZ3o,Boho_Beautiful_Yoga,none,morning,low,beginner,hips,hatha,flexibility
Best Yoga For You | A Wonderful Yoga Class In Magical Tibet,cN8p_wzblzA,Boho_Beautiful_Yoga,none,morning,low,beginner,full_body,hatha,flexibility
Yin Yoga For Upper Body | Release ALL Your Stress In 20 Minutes,XzWctoBI-6g,Boho_Beautiful_Yoga,none,evening,low,beginner,back,yin,relaxation
Yoga For Strength & Healing | Mind Body Yoga To Feel Your Best,gzk2W3aNoo0,Boho_Beautiful_Yoga,none,afternoon,medium,intermediate,full_body,vinyasa,strength
Yoga For Beginners | Easy 20 Minute Yoga Experience,IV7rEFOkRkU,Boho_Beautiful_Yoga,none,afternoon,medium,beginner,full_body,vinyasa,flexibility
Total Body Yoga Flow | Morning Yoga Class: Awaken,NKiGZktresA,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,vinyasa,flexibility
Total Body Yoga Workout | Power Yoga Class: Reconnect,B98Gi20riog,Boho_Beautiful_Yoga,none,afternoon,high,intermediate,full_body,power,strength
Yoga For Back Pain | Strengthen & Stretch Your Way To A New Healthy Back,D1qdaQHsJV8,Boho_Beautiful_Yoga,none,afternoon,medium,intermediate,back,hatha,strength
Yoga For Complete Beginners | Easy Gentle Boho Beautiful Yoga,yWL8Y49A-iE,Boho_Beautiful_Yoga,none,afternoon,medium,beginner,full_body,hatha,relaxation
"Yoga For Leg & Hip Flexibility | Hikers, Cyclists, & Dancers Deep Stretch Yoga Flow",DWCyYhczU6M,Boho_Beautiful_Yoga,none,afternoon,medium,beginner,hips,vinyasa,flexibility
"Yoga For Tight & Sore Muscles | 20 Minute Yoga For Hips, Calves, & Hamstrings",lupXygvF8jY,Boho_Beautiful_Yoga,none,evening,medium,beginner,hips,hatha,flexibility
25 Min Yin Yoga Class | 7 Day Yin Yoga Exploration Challenge,7mi15YbS8wg,Boho_Beautiful_Yoga,none,evening,low,beginner,full_body,yin,relaxation
Yoga Workout Flow | 20 Minute Full Body Workout,j77wT96jHCI,Boho_Beautiful_Yoga,none,morning,high,intermediate,full_body,vinyasa,flexibility
Full Body Yoga Workout To Feel Alive | 7 Day Challenge For Isolated Times,Fd3Su5lWJsw,Boho_Beautiful_Yoga,none,evening,high,beginner,full_body,hatha,energizing
30 Min Morning Yoga | For Strength & Peace In Challenging Times,15arofO27do,Boho_Beautiful_Yoga,none,morning,low,beginner,full_body,vinyasa,relaxation
Yin Yoga Deep Stretch Class | Release All That No Longer Serves You,BsKUBO_TPRk,Boho_Beautiful_Yoga,none,afternoon,medium,beginner,full_body,yin,flexibility
Gentle Yoga To Feel Your Best | Yoga For Tight Lower Body & Back (No Hands!),rUpkZZAGDzw,Boho_Beautiful_Yoga,none,morning,medium,intermediate,back,hatha,balance
30 Min Yoga Flow For Full Body & Mind | Breathing Into Blissful Being,g4wbPoWvsdo,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,vinyasa,relaxation
At Home Yoga Workout | Full Body Workout Flow To Sweat & Tone,qu82UolGX7k,Boho_Beautiful_Yoga,none,afternoon,high,intermediate,full_body,power,energizing
30 Min Intermediate Yoga Class | Expand Your Yoga Practice At Home,SrE1B5GzUpM,Boho_Beautiful_Yoga,none,afternoon,medium,intermediate,full_body,vinyasa,strength
Yoga For Stress & Anxiety Relief | Blissful Yin Yoga Experience,IYiV4ztPVu0,Boho_Beautiful_Yoga,none,evening,medium,beginner,full_body,yin,relaxation
Morning Yoga In Bed | Gentle Wake Up Yoga For A Perfect Day,AYH-LOMRqlk,Boho_Beautiful_Yoga,none,morning,low,beginner,full_body,hatha,relaxation
Yoga For Flexibility | Stretch Yoga To Achieve The Splits & Release Tight Hips,IZCJiTqdPm8,Boho_Beautiful_Yoga,none,afternoon,medium,intermediate,hips,hatha,flexibility
Perfect Morning Yoga | 30 Min Yoga Practice To Kick Start Your Body,oA6vjBPlmCE,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,hatha,energizing
Full Body Yoga Class For Everyone | 30 Min Feel Good Yoga Flow,BeG_UU-Bf5k,Boho_Beautiful_Yoga,none,evening,medium,intermediate,full_body,vinyasa,relaxation
Yin Yoga For Lower Body | Unique Yoga Postures To Release Lower Back Pain & Body Stiffness,ydtmPONM-rw,Boho_Beautiful_Yoga,none,evening,low,beginner,back,yin,relaxation
10 Min Power Yoga Flow | Yoga To Blissfully Set Yourself & Your Day Up For Success,bGI-issML4c,Boho_Beautiful_Yoga,none,morning,high,intermediate,full_body,power,energizing
Power Yoga Workout | 15 Min Yoga Class To Bring You Back To Yourself Gloriously,nOrfps-dtac,Boho_Beautiful_Yoga,none,afternoon,high,intermediate,full_body,power,relaxation
25 Min Morning Yoga | Full Body Yoga Flow To Start Your Day Perfectly ➤ Yoga Day 1,vgVCD9kICH8,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,vinyasa,flexibility
20 Min Gentle Yoga Class For All Levels | Relaxing Loving Awareness In Motion ➤ Day 10,V_wG1mJbAzQ,Boho_Beautiful_Yoga,belt,evening,medium,beginner,full_body,hatha,relaxation
20 Min Wake Up Yoga | Best Morning Yoga Full Body Stretch ➤ Day 14,s1TNzh-go-M,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,hatha,flexibility
20 Min Morning Yoga For Full Body | Feel Great Vinyasa Flow,hlaVSLdhEvA,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,vinyasa,relaxation
25 Min Prenatal Yoga Workout | Gentle Full Body Class For A Healthy Pregnancy,_NP6u3TWlBE,Boho_Beautiful_Yoga,none,afternoon,low,beginner,pregnancy,hatha,relaxation
20 Min Morning Yoga For Beginners | Full Body Yoga To Wake Up Perfectly,4g_1fMmoxK4,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,energizing
"30 Min Morning Yoga Workout + Wim Hof Breathing | Immunity Boost, Mental Clarity & Strength",53eyKkxrSFc,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,energizing
60 Min Yin Yoga For Full Body | Unbelievable Deep Release Yoga Class,O_kShXWLrSQ,Boho_Beautiful_Yoga,none,evening,medium,beginner,full_body,yin,relaxation
"Full Body Yoga Flow | 60 MIN Yoga For Flexibility, Mobility, & Strength",H4eimzWFcls,Boho_Beautiful_Yoga,none,afternoon,high,intermediate,full_body,vinyasa,flexibility
"Yin Yoga Class | Total Body Yoga For Stress, Tension, & Muscle Stiffness",CY255jk60AM,Boho_Beautiful_Yoga,none,evening,low,beginner,full_body,yin,relaxation
"Yoga For Sore Legs, Hips, & Lower Back | RECOVERY & FLEXIBILITY",RFk9SDvhpHM,Boho_Beautiful_Yoga,none,afternoon,medium,beginner,full_body,hatha,flexibility
Yoga For Period Pain & Cramps | Incredible Yogic PMS Relief,M9igb8JH-14,Boho_Beautiful_Yoga,none,afternoon,low,beginner,period_pain,hatha,relaxation
Prenatal Yoga For All Trimesters | Connect To Your Baby & Find Full Body Relief Fast,0zSWaP1VDk4,Boho_Beautiful_Yoga,none,evening,low,beginner,pregnancy,hatha,relaxation
Bedtime Yoga To Relax & Unwind | Yoga For Ending Your Day Perfectly,ZSSC9X_6wo4,Boho_Beautiful_Yoga,none,before_sleep,low,beginner,full_body,hatha,relaxation
Prenatal Morning Yoga Bliss | Full Body Relief & Compassionate Alignment,OgYxNz2TZ2Q,Boho_Beautiful_Yoga,none,morning,low,beginner,pregnancy,hatha,relaxation
30 Min Morning Yoga | Wake Up Yoga & Feel Your Ultimate Best,Y2j8bLCGx1U,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,hatha,energizing
Yin Yoga for Upper Body | Release ALL Stress & Tension In 30 Minutes,ltE8w4SSDJs,Boho_Beautiful_Yoga,none,afternoon,low,beginner,back,yin,relaxation
Yoga for Pregnancy | 30 Min Prenatal Yoga Flow For Peace Of Mind,jfitu-eL-to,Boho_Beautiful_Yoga,none,afternoon,low,beginner,pregnancy,vinyasa,relaxation
Full Body Morning Yoga | 15 Min Perfect Start To Your Day ⇒ Blissful & Quick!,pYz4s14rBsY,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,hatha,energizing
"20 Min Morning Yoga For When You Are Tired & Sore | Recovery, Release, & Rejuvenation",CAVshqce7ak,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,relaxation
10 Min Morning Yoga Class | Wake Up & Start The Day,pzwDjMZwrXE,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,energizing
15 Min Morning Yoga | Wake Up & Start EVERY DAY Perfectly,UHGLQUUuTeM,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,energizing
Morning Yoga | 15 MINS To Wake Up & Start Every Single Morning Perfectly,-yarAyUZXfk,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,hatha,energizing
"10 Min Morning Power Yoga | Get Fit, Lose Weight, Start Your Every Day Great",5sxRR78b5D0,Boho_Beautiful_Yoga,none,morning,high,beginner,full_body,power,energizing
Morning Yoga Workout | 10 MIN Yoga Flow For Full Body Results,V3F5jG7Mas0,Boho_Beautiful_Yoga,none,morning,medium,beginner,full_body,vinyasa,energizing
20 Min Morning Vinyasa Yoga To Feel Good | Wake Up & Flow,rWhlyNCfVVs,Boho_Beautiful_Yoga,none,morning,medium,intermediate,full_body,vinyasa,energizing
30 Min Prenatal Yoga Workout | Gentle Pregnancy Safe Workout & Stretch For All Expecting Mothers ❤,nLgAG30Ocuo,Boho_Beautiful_Yoga,none,afternoon,low,beginner,pregnancy,hatha,flexibility
Prenatal Yoga Workout | 30 Min Full Body Pregnancy Safe Workout ❤ ALL TRIMESTERS,NieKZURyFEo,Boho_Beautiful_Yoga,none,afternoon,low,beginner,pregnancy,hatha,relaxation
60 Min Yin Yoga For Flexibility & Relaxation | Full Body Deep Muscle Release To Wind Down Perfectly,V_Y5O4ghpxY,Boho_Beautiful_Yoga,none,evening,medium,beginner,full_body,yin,flexibility
20 Min Evening Yoga For A Restful Sleep | The Perfect Bedtime Wind Down 🌙,b0iTIucmN-I,Boho_Beautiful_Yoga,none,before_sleep,low,beginner,full_body,hatha,relaxation
"90 Min Yin Yoga Class | Deep Stretch To Melt Stress, Unlock Flexibility, & Cleanse Your Inner World",ilZslYmJL7M,Boho_Beautiful_Yoga,none,evening,medium,beginner,full_body,yin,flexibility
